Id,Title,Genre,Developer,Publisher,Year
1,Persona 5,JRPG,Atlus,Atlus,2016
2,Banner Saga 2,RPG,Stoic,Versus Evil,2016
3,Adventures of Mana,RPG,"	Square Enix",Square Enix,2016
4,Dark Souls III,RPG,FromSoftware,Bandai Namco Entertainment,2016
5,Divinity: Original Sin II,RPG,"	Larian Studios","	Larian Studios",2016
6,FINAL FANTASY X/X-2 HD Remaster,JRPG,"	Square Enix","	Square Enix",2016
7,Final Fantasy XV,JRPG,"	Square Enix","	Square Enix",2016
8,"	Diablo III: Reaper of Souls (",RPG,Blizzard Entertainment,Blizzard Entertainment,2014
9,Dragon Age: Inquisition,RPG,BioWare,Electronic Arts,2014
10,Middle-earth: Shadow of Mordor,RPG,Monolith Productions,Warner Bros. Interactive Entertainment,2014
11,Might & Magic X: Legacy,RPG,Limbic Entertainment,Ubisoft,2014
12,The Witcher 3: Wild Hunt,RPG,CD Projekt Red,CD Projekt Red,2015
13,The Elder Scrolls V: Skyrim,RPG,Bethesda Game Studios,Bethesda Softworks,2011
14,ELEX,RPG,Piranha Bytes,THQ Nordic,2017
15,Kingdom Come: Deliverance,RPG,Warhorse Studios,Deep Silver,2018
16,GreedFall,RPG,Spiders,Focus Home Interactive,2019
17,Gothic II,RPG,Piranha Bytes,Atari,2003
